symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-03-01 00:00:00+00:00,104.43,105.91,104.2,105.1,13813310,90.4345435599,91.7161975335,90.2353676045,91.0147517777,13813310,0.0,1.0
JPM,2019-03-04 00:00:00+00:00,104.19,105.92,103.27,104.92,12466285,90.2267077804,91.7248573577,89.4300039589,90.8588749431,12466285,0.0,1.0
JPM,2019-03-05 00:00:00+00:00,104.11,104.55,103.26,104.13,10856646,90.1574291872,90.5384614496,89.4213441348,90.1747488355,10856646,0.0,1.0
JPM,2019-03-06 00:00:00+00:00,103.72,104.57,103.55,103.86,9070782,89.8196960455,90.5557810979,89.672479035,89.9409335835,9070782,0.0,1.0
JPM,2019-03-07 00:00:00+00:00,102.97,103.47,102.16,103.25,12705739,89.1702092345,89.6032004418,88.4687634787,89.4126843106,12705739,0.0,1.0
JPM,2019-03-08 00:00:00+00:00,103.01,103.23,101.99,101.99,10582371,89.2048485311,89.3953646623,88.3215464682,88.3215464682,10582371,0.0,1.0
JPM,2019-03-11 00:00:00+00:00,104.35,104.55,103.66,103.98,9763235,90.3652649667,90.5384614496,89.7677371006,90.0448514733,9763235,0.0,1.0
JPM,2019-03-12 00:00:00+00:00,104.04,104.79,103.75,104.59,10219100,90.0968104182,90.7462972291,89.8456755179,90.5731007462,10219100,0.0,1.0
JPM,2019-03-13 00:00:00+00:00,104.39,104.98,103.95,104.19,13022241,90.3999042633,90.9108338879,90.0188720009,90.2267077804,13022241,0.0,1.0
JPM,2019-03-14 00:00:00+00:00,105.34,105.87,104.46,104.5,10926470,91.2225875572,91.681558237,90.4605230323,90.4951623289,10926470,0.0,1.0
JPM,2019-03-15 00:00:00+00:00,106.55,106.8,105.23,105.41,24811730,92.2704262789,92.4869218826,91.1273294916,91.2832063262,24811730,0.0,1.0
JPM,2019-03-18 00:00:00+00:00,107.19,107.79,106.5,106.55,12935514,92.8246550243,93.344244473,92.2271271582,92.2704262789,12935514,0.0,1.0
JPM,2019-03-19 00:00:00+00:00,106.8,108.4,106.55,108.2,12889267,92.4869218826,93.872493746,92.2704262789,93.699297263,12889267,0.0,1.0
JPM,2019-03-20 00:00:00+00:00,104.52,106.65,104.41,106.43,14920658,90.5124819772,92.3570245204,90.4172239116,92.1665083891,14920658,0.0,1.0
JPM,2019-03-21 00:00:00+00:00,102.87,103.49,102.28,103.49,19751044,89.0836109931,89.6205200901,88.5726813684,89.6205200901,19751044,0.0,1.0
JPM,2019-03-22 00:00:00+00:00,99.76,102.32,99.52,101.82,31115189,86.3904056836,88.607320665,86.182569904,88.1743294577,31115189,0.0,1.0
JPM,2019-03-25 00:00:00+00:00,98.93,100.57,98.09,99.59,21032295,85.6716402794,87.0918514394,84.9442150511,86.2431886731,21032295,0.0,1.0
JPM,2019-03-26 00:00:00+00:00,99.92,100.4,98.82,99.82,15987129,86.5289628699,86.9446344289,85.5763822138,86.4423646284,15987129,0.0,1.0
JPM,2019-03-27 00:00:00+00:00,99.58,100.45,99.08,99.88,12753234,86.2345288489,86.9879335497,85.8015376416,86.4943235733,12753234,0.0,1.0
JPM,2019-03-28 00:00:00+00:00,100.71,100.8,99.74,100.0,12454070,87.2130889775,87.2910273948,86.3730860353,86.5982414631,12454070,0.0,1.0
JPM,2019-03-29 00:00:00+00:00,101.23,101.99,100.59,101.54,14523395,87.6633998331,88.3215464682,87.1091710877,87.9318543816,14523395,0.0,1.0
JPM,2019-04-01 00:00:00+00:00,104.64,104.68,102.12,102.15,17499280,90.616399867,90.6510391635,88.4341241821,88.4601036545,17499280,0.0,1.0
JPM,2019-04-02 00:00:00+00:00,105.14,105.44,104.33,104.6,10295539,91.0493910743,91.3091857987,90.3479453184,90.5817605704,10295539,0.0,1.0
JPM,2019-04-03 00:00:00+00:00,105.35,106.36,104.79,105.81,11499209,91.2312473813,92.1058896201,90.7462972291,91.6295992921,11499209,0.0,1.0
