symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BRK-B,2021-08-12 00:00:00+00:00,290.24,291.81,288.93,291.81,3171022,290.24,291.81,288.93,291.81,3171022,0.0,1.0
BRK-B,2021-08-13 00:00:00+00:00,287.89,291.05,287.12,290.61,3109441,287.89,291.05,287.12,290.61,3109441,0.0,1.0
BRK-B,2021-08-16 00:00:00+00:00,289.45,289.49,285.21,287.0,3564606,289.45,289.49,285.21,287.0,3564606,0.0,1.0
BRK-B,2021-08-17 00:00:00+00:00,289.1,290.77,287.6,288.53,3626986,289.1,290.77,287.6,288.53,3626986,0.0,1.0
BRK-B,2021-08-18 00:00:00+00:00,286.36,290.07,285.95,289.0,3882015,286.36,290.07,285.95,289.0,3882015,0.0,1.0
BRK-B,2021-08-19 00:00:00+00:00,285.13,287.155,283.98,284.96,3394084,285.13,287.155,283.98,284.96,3394084,0.0,1.0
BRK-B,2021-08-20 00:00:00+00:00,285.27,285.92,283.95,284.96,2846685,285.27,285.92,283.95,284.96,2846685,0.0,1.0
BRK-B,2021-08-23 00:00:00+00:00,285.62,287.38,285.39,287.38,2957033,285.62,287.38,285.39,287.38,2957033,0.0,1.0
BRK-B,2021-08-24 00:00:00+00:00,286.02,286.58,284.18,286.01,3187411,286.02,286.58,284.18,286.01,3187411,0.0,1.0
BRK-B,2021-08-25 00:00:00+00:00,287.3,288.56,285.22,286.2,2975425,287.3,288.56,285.22,286.2,2975425,0.0,1.0
BRK-B,2021-08-26 00:00:00+00:00,285.27,288.17,284.985,288.16,3342019,285.27,288.17,284.985,288.16,3342019,0.0,1.0
BRK-B,2021-08-27 00:00:00+00:00,286.6,286.71,285.121,285.62,3485834,286.6,286.71,285.121,285.62,3485834,0.0,1.0
BRK-B,2021-08-30 00:00:00+00:00,285.66,287.04,285.02,286.3,3505799,285.66,287.04,285.02,286.3,3505799,0.0,1.0
BRK-B,2021-08-31 00:00:00+00:00,285.77,286.33,284.76,285.28,6498911,285.77,286.33,284.76,285.28,6498911,0.0,1.0
BRK-B,2021-09-01 00:00:00+00:00,285.26,287.14,284.85,286.59,3326024,285.26,287.14,284.85,286.59,3326024,0.0,1.0
BRK-B,2021-09-02 00:00:00+00:00,285.05,286.44,284.21,285.35,3969981,285.05,286.44,284.21,285.35,3969981,0.0,1.0
BRK-B,2021-09-03 00:00:00+00:00,281.89,284.82,281.71,284.3,4497446,281.89,284.82,281.71,284.3,4497446,0.0,1.0
BRK-B,2021-09-07 00:00:00+00:00,278.9,281.91,278.73,281.91,4866579,278.9,281.91,278.73,281.91,4866579,0.0,1.0
BRK-B,2021-09-08 00:00:00+00:00,279.34,279.95,277.59,278.18,4647350,279.34,279.95,277.59,278.18,4647350,0.0,1.0
BRK-B,2021-09-09 00:00:00+00:00,278.61,280.11,278.37,278.91,3684442,278.61,280.11,278.37,278.91,3684442,0.0,1.0
BRK-B,2021-09-10 00:00:00+00:00,277.6,279.97,277.49,279.97,4554095,277.6,279.97,277.49,279.97,4554095,0.0,1.0
BRK-B,2021-09-13 00:00:00+00:00,279.92,280.84,277.82,278.36,4602220,279.92,280.84,277.82,278.36,4602220,0.0,1.0
BRK-B,2021-09-14 00:00:00+00:00,277.2,280.78,276.36,280.54,5283679,277.2,280.78,276.36,280.54,5283679,0.0,1.0
BRK-B,2021-09-15 00:00:00+00:00,278.18,279.06,276.67,277.6,3884425,278.18,279.06,276.67,277.6,3884425,0.0,1.0
BRK-B,2021-09-16 00:00:00+00:00,277.51,279.21,276.21,278.96,4211260,277.51,279.21,276.21,278.96,4211260,0.0,1.0
BRK-B,2021-09-17 00:00:00+00:00,276.76,281.0,275.42,277.64,15864326,276.76,281.0,275.42,277.64,15864326,0.0,1.0
BRK-B,2021-09-20 00:00:00+00:00,274.2,274.91,271.36,273.05,7645544,274.2,274.91,271.36,273.05,7645544,0.0,1.0
BRK-B,2021-09-21 00:00:00+00:00,273.18,276.22,272.59,276.03,4649584,273.18,276.22,272.59,276.03,4649584,0.0,1.0
BRK-B,2021-09-22 00:00:00+00:00,274.07,276.61,273.67,276.28,5019165,274.07,276.61,273.67,276.28,5019165,0.0,1.0
BRK-B,2021-09-23 00:00:00+00:00,278.12,279.7,275.01,275.15,4732436,278.12,279.7,275.01,275.15,4732436,0.0,1.0
BRK-B,2021-09-24 00:00:00+00:00,277.87,279.13,277.41,278.3,3109731,277.87,279.13,277.41,278.3,3109731,0.0,1.0
BRK-B,2021-09-27 00:00:00+00:00,279.72,280.625,278.12,279.77,3359132,279.72,280.625,278.12,279.77,3359132,0.0,1.0
BRK-B,2021-09-28 00:00:00+00:00,276.79,281.38,275.82,279.14,4959925,276.79,281.38,275.82,279.14,4959925,0.0,1.0
BRK-B,2021-09-29 00:00:00+00:00,277.29,278.78,275.95,277.03,2952031,277.29,278.78,275.95,277.03,2952031,0.0,1.0
BRK-B,2021-09-30 00:00:00+00:00,272.94,278.37,272.84,278.37,5189361,272.94,278.37,272.84,278.37,5189361,0.0,1.0
BRK-B,2021-10-01 00:00:00+00:00,275.71,277.51,272.22,273.02,3951758,275.71,277.51,272.22,273.02,3951758,0.0,1.0
BRK-B,2021-10-04 00:00:00+00:00,273.64,276.96,273.05,274.68,4308740,273.64,276.96,273.05,274.68,4308740,0.0,1.0
BRK-B,2021-10-05 00:00:00+00:00,278.05,279.67,273.2,273.86,5070203,278.05,279.67,273.2,273.86,5070203,0.0,1.0
BRK-B,2021-10-06 00:00:00+00:00,280.22,280.3931,274.6101,276.28,3867578,280.22,280.3931,274.6101,276.28,3867578,0.0,1.0
BRK-B,2021-10-07 00:00:00+00:00,282.95,284.99,282.14,282.14,3795242,282.95,284.99,282.14,282.14,3795242,0.0,1.0
BRK-B,2021-10-08 00:00:00+00:00,284.14,284.72,281.71,282.59,2300367,284.14,284.72,281.71,282.59,2300367,0.0,1.0
BRK-B,2021-10-11 00:00:00+00:00,280.93,285.61,280.8,284.43,2908483,280.93,285.61,280.8,284.43,2908483,0.0,1.0
BRK-B,2021-10-12 00:00:00+00:00,278.62,281.52,278.215,281.46,3771281,278.62,281.52,278.215,281.46,3771281,0.0,1.0
BRK-B,2021-10-13 00:00:00+00:00,277.9,279.41,275.55,278.47,3312002,277.9,279.41,275.55,278.47,3312002,0.0,1.0
BRK-B,2021-10-14 00:00:00+00:00,281.64,282.38,279.3,280.81,3647106,281.64,282.38,279.3,280.81,3647106,0.0,1.0
